review,rating,sentiment
nice expensive parking good deal anniversary arrived late evening took advice previous review valet parking check quick easy little disappointed nonexistent view room room clean nice size bed comfortable woke stiff neck high pillow soundproof heard music room morning loud bang door opening closing hear people talking hallway maybe noisy neighbor aveda bath product nice goldfish nice touch taken advantage staying longer location great walking distance shopping overall nice experience pay parking,4,Positive
ok nothing special charge diamond member hilton decided chain shot anniversary seattle start booked suite paid extra website description suite bedroom bathroom standard room took printed reservation desk showed said thing tv couch ect desk clerk told oh mixed suite description kimpton website sorry free breakfast kidding embassy suit sitting room bathroom bedroom unlike kimpton call suite offer correct false advertising send kimpton preferred guest website email asking failure provide suite advertised website reservation description furnished hard copy reservation printout website desk manager duty reply solution send email trip guest survey follow email mail guess tell concerned guestthe staff ranged indifferent helpful asked desk good breakfast spot neighborhood hood told hotel gee best breakfast spot seattle block away convenient know exist arrived late pm inside run bellman busy chating cell phone help bagsprior arrival emailed inform anniversary half really picky wanted sure good nice email saying deliver bottle champagne chocolate covered strawberry room arrival celebrate told needed foam pillow arrival champagne strawberry foam pillow great room view alley high rise building good better housekeeping staff cleaner room property impressed left morning shopping room short trip hour bed comfortablenot good acheat control x inch screen bring green shine directly eye light sensitive tape controlsthis start clean business super high rate better chain hotel seattle,2,Positive
nice room experience monaco seattle good levelpositives large bathroom mediterranean suite comfortable bed pillowsattentive housekeeping staffnegatives ac unit malfunctioned desk disorganized missed separate wakeup call concierge busy hard touch provide guidance special requeststv hard use ipod sound dock suite non functioning decided book mediterranean suite weekend st choice rest party filled comparison w spent larger square footage room great soaking tub whirlpool jet nice showerbefore arrange car service price tip reasonable driver waiting arrivalcheckin easy downside room picked person jacuzi tub bath accessory salt bubble bath checked voucher bottle champagne nice gesture fish waiting room impression room huge open space felt room big tv far away bed chore change channel ipod dock broken disappointingin morning way asked desk check thermostat said f degree warm try cover face bright blue light kept room st drop desk called maintainence came look thermostat told play setting happy digital box work asked wakeup morning happen called later pm nap wakeup forgot wakeup morning yep forgottenthe bathroom facility great room surprised room sold whirlpool bath tub bath amenity great relax water jet going,3,Positive
unique great wonderful monaco location excellent short stroll main downtown shopping area pet friendly room showed sign animal hair smell monaco suite sleeping area big striped curtain pulled closed nice touch felt cosy goldfish named brandi enjoyed partake free wine coffeetea service lobby thought great feature great staff friendly free wireless internet worked suite laptop decor lovely eclectic mix patten color palatte animal print bathrobe feel rock star nice look sterile chain personality excellent,5,Positive
great great seahawk game awesome downfall view building complain room huge staff helpful booked hotel website seahawk package charge parking voucher taxi problem taxi driver want accept voucher barely spoke english funny speak arabic called started making comment girlfriend cell phone buddy took second realize said fact speak language face priceless as told said large city told head doorman issue called cab company promply answer apologized offered pay taxi buck mile stadium game plan taxi return going humpin great walk mind right christmas wonderful light homeless stowed away building entrance leave police presence greatest area stadium activity block pike street waterfront great coffee shop way mantained foyer awesome wine tasting available evening best dog taking st bernard family safe located service desk room bathroom huge jetted tub huge funny house keeping walked girlfriend getting dressed hear knock turn service screamed girlfriend scream hit floor laughing started talking spanish worked recommend price check online deal good better besite contains deal voucher travel website tell,5,Positive
love monaco staff husband crazy weekend attending memorial service best friend husband celebrating wedding anniversary talk mixed emotion booked suite monte carlos loaned beautiful fantanned goldfish named joliet weekend visited dog worked desk human companion room decorated nicely couch used pillow loccitane bath amenity welcome sight room quiet peaceful wireless internet access wonderful server morning leaving problem printing boarding pass afternoon reception serf oenophilesatisfying wine australia scrumptious cooky restaurant closed renovation finally ate food good drink better word caution restaurant larger person sit booth fit lb husband table smackagainst stomach couple inch space mighty uncomfortable patron larger pregnant bad design opinion decorated funky welcoming way metal wood handblown glass light fixture expect seattle capital glass art industry definitely reason,5,Positive
cozy rainy city husband spent night monaco early january business trip chance ridewe booked monte carlo suite proved comfortable longish room located street building street noise problem view interesting room building look dank alley midsection large office building suite comfortable plenty room spread bathroom attractive squeaky clean small comparison generous proportion sitting sleeping area lot comfortable seating option good lighting plenty storage clothing luggage staff friendly efficient housekeeping staff great job pleasant request responded quicklythe location quite good easy walk pike street market seattle art museum notch shopping dining optionsa positive experience,5,Positive
excellent staff housekeeping quality chocked staff feel home experienced exceptional service desk staff concierge door men maid service need work maid failed tuck sheet foot bed instance soiled sheet used staff quickley resolved soiled sheet issue guess relates employee reflection rest staffwe received excellent advice concierge regarding resturants area happy hour wine tasting nice touch staff way feel homegreat location close good food shopping took play street theather wellpikes market pioneer square access mono rail short walking distance,4,Positive
monaco cruise room generous decorated uniquely remodeled pacific bell building charm sturdiness everytime walked bell men felt coming home secure great single traveler location fabulous walk thing pike market space needlelittle grocerydrug store block away today green bravo double bed room room bed couch separated curtain snoring mom slept curtain great food nearby,5,Positive
excellent monaco past delight reception staff friendly professional room smart comfortable bed particularly liked reception small dog received staff guest spoke loved mild negative distance uphill ppmarket restaurant st overall great experience,5,Positive
poor value monaco seattle july nice priced take beating quotient experience simply average nothing exceptional paying cannot terribly disappointed wife nicest suite felt overpaying best advice shop qualitywise league average marriott nice best western,2,Positive
nice value seattle night late looked comparable hilton marriott westin area pointsmiles gave monaco shot pleasantly surprised nice room service quick tasty bed especially comfortable unlike people nothing positive thing say service downside relatively small exercise room treadmill heck east coast ran person day definitely,4,Positive
nice good location kimpton design whimsical vibe fun staff young casual problem busy friendly helpful group reserved room gave connecting room fuss busy weekthe room decent size huge pretty average city bed nice bathroom clean bright pocket door ideal busy bathroom room design bright cheery flat panel tv location little noisy fine floor location convenient walkable attraction new central library sam art museum benaroya concert hall pike market parking steep evening wine reception popular,4,Positive
nice nice staff lovely staff quite rude bellhop desk clerk going way thing difficult waited forever check heavy bag help getting throught double door room worst desk clerk checking tap tap tap car waited pick minute home noticed dollar hold credit card took phonecalls fax week resolved warwck lenora room okbut al friendly face tiring airport,3,Positive
great quick business trip loved little touch goldfish leopard print robe complaint wifi complimentary internet access business center great location library service fabulous,4,Positive
