dominant_topic,sentiment,count,total,percentage
0,Negative,1389,11814,11.75723717623159
0,Neutral,3618,11814,30.62468257998984
0,Positive,6807,11814,57.61808024377857
1,Negative,846,12085,7.00041373603641
1,Neutral,3707,12085,30.674389739346296
1,Positive,7532,12085,62.3251965246173
2,Negative,1604,10028,15.995213402473073
2,Neutral,4259,10028,42.47108097327483
2,Positive,4165,10028,41.53370562425209
3,Negative,1058,9162,11.547697009386598
3,Neutral,3844,9162,41.95590482427418
3,Positive,4260,9162,46.496398166339226
4,Negative,1282,12703,10.09210422734787
4,Neutral,4170,12703,32.826891285523104
4,Positive,7251,12703,57.08100448712903
