|-------------------|---------------|--------|---------------|-----------|--------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| author            | contributions | rating | date_of_stay  | trip_type | title                                                              | content                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | tip                                                                                                      | response                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|-------------------|---------------|--------|---------------|-----------|--------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Louise H          |           6.0 |      5 | Mar 2025      | Couples   | beautiful hotel                                                    | jaya house park really special place every detail thought staff wonderful friendly helpful morning manager chris incredibly welcoming room spacious beautiful spotlessly clean                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | pool garden peace long day exploring nearby sight staff hand iced water bug spray spa really worth visit | christian de boergeneral managerthank much wonderful review delighted hear found jaya house special place team work hard ensure every detail perfect great know chris made positive impression also glad enjoyed spacious clean room strive create welcoming atmosphere guest kind word mean lot u hope welcome back another memorable stay                                                                                                                                                                                                                                                                                                                                                          |
|-------------------|---------------|--------|---------------|-----------|--------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| shimeshime        |          16.0 |      5 | Aug 2024      | Couples   | luxurious gem siem reap absolutely best hotel weve ever stayed     | stayed jaya house river park 4 night august minute already want leave hospitality every staff exceptional every way food drink delicious wide variety room amazingly well maintained dcor daily 60 min complimentary spa laundry service lifesaver long day exploring garden flower place place nicely maintained commitment local community planet outstanding                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | nan                                                                                                      | christian de boergeneral managerthank much taking time share detailed glowing review experience jaya house river park truly heartwarming hear every aspect stay exceeded expectation warm hospitality staff delicious food drink wellmaintained room amenity thoughtful complimentary service spa laundry sound like every detail well taken care ensure comfort satisfaction wonderful hear hotel commitment local community environment made positive impression recommendation mean lot look forward welcoming back another memorable experience future                                                                                                                                           |
|-------------------|---------------|--------|---------------|-----------|--------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Mark S            |           9.0 |      5 | Mar 2025      | Couples   | time siem reap                                                     | beautiful serene property amazing decor staff friendly attentive spa experience awesome relaxing massage room spectacular huge private pool everything spotless wonderful experience                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | nan                                                                                                      | christian de boergeneral managerthank much wonderful review jaya house thrilled hear enjoyed stay u positive experience great know appreciated decor found staff friendly attentive also delighted loved spa experience room private pool providing serene relaxing atmosphere top priority u glad could contribute wonderful experience hope welcome back soon another relaxing getaway                                                                                                                                                                                                                                                                                                             |
|-------------------|---------------|--------|---------------|-----------|--------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Kelley J          |           1.0 |      5 | Jan 2025      | Family    | beautiful oasis middle incredible city cambodia                    | absolutely gorgeous hotel middle siem reap staff beyond exceptional food fresh delicious every morning pool area relaxing room beautiful linen highend definitely recommend hotel siem reap                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | swimming pool chilly                                                                                     | christian de boergeneral managerthank much wonderful review jaya house thrilled hear found hotel beautiful oasis siem reap staff work hard provide exceptional service heartwarming know felt stay also glad enjoyed fresh delicious breakfast well relaxing pool area kind word room linen mean lot u strive create comfortable luxurious experience guest appreciate recommendation hope welcome back another unforgettable stay future                                                                                                                                                                                                                                                            |
|-------------------|---------------|--------|---------------|-----------|--------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
