author,contributions,rating,date_of_stay,trip_type,title,content,tip,response
Louise H,6,5,Mar 2025,Couples,Beautiful Hotel,"Jaya House Park is a really special place. Every detail has been thought about. The staff are all wonderful - friendly and helpful. The morning manager, Chris, was incredibly welcoming. The room was spacious, beautiful and spotlessly clean.","The pools and gardens are a haven of peace, after a long day exploring the nearby sights. The staff are on hand with iced water & bug spray. The spa is really worth a visit.","Christian de Boer|General Manager|Thank you so much for your wonderful review! We’re delighted to hear that you found our Jaya House to be a special place. Our team works hard to ensure every detail is perfect, and it’s great to know that Chris made such a positive impression on you. We’re also glad you enjoyed your spacious and clean room. We strive to create a welcoming atmosphere for our guests, and your kind words mean a lot to us. We hope to welcome you back for another memorable stay!"
shimeshime,16,5,Aug 2024,Couples,"A luxurious gem in Siem Reap, absolutely the best hotel we’ve ever stayed!","We stayed at Jaya House River Park for 4 nights in August and after a minute, we already did not want to leave. The hospitality of every staff was exceptional in every way, food and drinks were delicious with wide variety, the room was amazingly well maintained and décor, the daily 60 mins complimentary spa and laundry service was a lifesaver after a long day of exploring, the garden and flowers place to place were nicely maintained and their commitment to both local community and our planet was outstanding.",,"Christian de Boer|General Manager|Thank you so much for taking the time to share your detailed and glowing review of your experience at Jaya House River Park. It's truly heartwarming to hear that every aspect of your stay exceeded your expectations. From the warm hospitality of the staff to the delicious food and drinks, the well-maintained room and amenities, and the thoughtful complimentary services such as the spa and laundry, it sounds like every detail was well taken care of to ensure your comfort and satisfaction. It's wonderful to hear that the hotel's commitment to the local community and the environment made a positive impression on you. Your recommendation means a lot, and we look forward to welcoming you back for another memorable experience in the future."
Mark S,9,5,Mar 2025,Couples,Time in Siem Reap,This is a beautiful and serene property with amazing decor. The staff was very friendly and attentive. The Spa experience was awesome with a relaxing massage. Our Room was spectacular. It was huge and had a private pool. Everything was spotless. A wonderful experience.,,"Christian de Boer|General Manager|Thank you so much for your wonderful review of Jaya House! We're thrilled to hear that you enjoyed your stay with us and had such a positive experience. It's great to know that you appreciated the decor and found our staff to be friendly and attentive. We're also delighted that you loved the spa experience and your room with the private pool. Providing a serene and relaxing atmosphere is a top priority for us, and we're glad that we could contribute to your wonderful experience. We hope to welcome you back soon for another relaxing getaway!"
Kelley J,1,5,Jan 2025,Family,A beautiful oasis in the middle of an incredible city in Cambodia.,An absolutely gorgeous hotel in the middle of Siem Reap! The staff are beyond exceptional. The food was fresh and delicious every morning. The pool area was so relaxing. Rooms were beautiful and the linens were high-end. We definitely recommend this hotel in Siem Reap.,The swimming pools are chilly!,"Christian de Boer|General Manager|Thank you so much for your wonderful review of Jaya House! We are thrilled to hear that you found our hotel to be a beautiful oasis in Siem Reap. Our staff works hard to provide exceptional service, and it's heartwarming to know you felt that during your stay. We're also glad you enjoyed our fresh and delicious breakfast, as well as the relaxing pool area. Your kind words about the rooms and linens mean a lot to us, as we strive to create a comfortable and luxurious experience for our guests. We appreciate your recommendation and hope to welcome you back for another unforgettable stay in the future!"
mattmoda,4,5,Mar 2025,Family,Incredible boutique hotel,"One of the most incredible hotels I have ever stayed at. Extremely friendly and accommodating staff which looked after every detail to make your stay incredible. They can do excursions as well. We are from the East Coast, United States and had no difficulty with communication at all. Would completely tell friends without reservation to go here. They will not be disappointed.",,"Christian de Boer|Owner|What a lovely review and we are more than happy that your experience with us warrants the title 'incredible Boutique Hotel'. I am grateful to know that the team, our philosophy, our actual grounds and our location have given you enough confidence to recommend us to any of your friends visiting Cambodia. I hope to be able to welcome you both back at some point in the not too distant future. Safe travels."
Genevieve A,10,5,Mar 2025,Couples,Memorable!,"Our stay at the Jaya House was absolutely fantastic! A lovely room with a balcony overlooking the pool. The gardens and landscaping is lush and well attended. The staff was so polite and were always ensuring we were enjoying our stay. We booked the Angkor Wat through the hotel and our guide was Sopheara Pheav. He was very knowledgeable and, if we are lucky enough to return to Cambodia, we will be requesting him. The hotel spa and dining room are really good. If you are looking for a beautiful, boutique hotel with attentive staff in Siem Reap, look no further than the Jaya House!",,Christian de Boer|Owner|I am so happy to read that you deem our little hotel 'Fantastic'! I can only agree with you with regards both our teams here at Jaya House & your comment about your guide; He is indeed also amazing. A big thank you for choosing us as your hotel in Siem Reap and we hope to be able to welcome you back soonest. Safe travels.
Wendy,1,5,Mar 2025,Couples,"Fabulous, fabulous place.","What a fabulous place. If you want to be treated like a VIP from the moment you arrive to literally the moment you leave (I have just been treated to a complimentary and delicious cappuccino and cookies as I’m waiting in reception for the ride to the airport), there is really nowhere better. I could talk about all the extra amenities - complimentary minibar, tuk tuk rides, two swimming pools - but it’s quicker for you to look them up online. The real difference is the staff - from the owner and management right on - they are charming, friendly, delightful people for whom nothing is too much trouble. And all this in tasteful, luxurious surroundings. You really will not find better.",Ideally situated for Angkor Wat and all the other temples.,"Christian de Boer|Owner|What a lovely review to wake up to. It's always so rewarding when we have been able to showcase the best of Khmer hospitality mixed with our 'no nickel & dime' approach. It makes me happy to know that we have been able to make you feel like a VIP traveller (we all deserve that) & I fully agree with you related to the comments about my team and their daily efforts. I would like to use this opportunity to thank you for taking the time to write down your experience with us and choosing us as your hotel in Siem Reap. We hope to be able to welcome you back at some point in the not too distant future. For now, safe travels."
Amy G,15,5,Mar 2025,Family,Incredible stay at Jaya House,"We travelled for four nights to Jaya House as a family of six (four adults and two teen boys). We have travelled extensively for both work and pleasure and can easily say this was one of the best hotels we have stayed (even better than Four Seasons service). The staff were some of the kindest people we have met and did everything possible to make us comfortable. So much has been mentioned in other reviews but would love to highlight a few things: The pool is refreshing and great for doing laps. Delicious food and drinks available at the onsite restaurant. Loved the personal coffee and drink bar in the lobby with cookie jars filled for snacking. Incredible massages daily with beautiful surroundings. Staff anticipated every need - cool towel when you arrived back, fresh water, personalized tuk tuk service, bug spray. Our teens boys also raved about the staff and kept commenting 'everyone is so nice here'. My husband arrived at the hotel quite ill from our time in Thailand and the staff took such good care of him. Making special ginger broth, delivering electrolytes, checking in on him, and ensuring us that healthcare was available if needed. Every company who strives to deliver personalized client experiences should come and stay at Jaya House. It felt genuine in every instant. Thank you for a wonderful introduction to beautiful Cambodia. We hope to return one day soon!","Lean on the hotel staff for ideas for outside restaurants, shopping tips, and excursions. It was very helpful to have their input.","Christian de Boer|Owner|It's making me rather happy to know that we have been able to deliver an 'incredible experience' for the 6 of you. We believe that it's always the small details that make any (hotel) experience a good one. Ranking us above one of the global hotel chains in terms of service makes me super happy and proud of the team's daily achievements. (and yes the fresh ginger broth really does do it wonders) Finally, I'd like to thank you for taking the time to write down your experience with us and choosing Jaya House as your hotel in Siem Reap and we hope to be able to welcome you back at some point in the not too distant future. For now, safe travels."
Amanda S,3,5,Mar 2025,Friends,Highly recommended.,"Attention to detail is their strength. Beautiful property, food is fresh and tasty. A wonderful place to unwind and enjoy Cambodia. All the staff are available and willing to do anything to make your stay unforgettable. The flowers throughout are the cherry on top.",,"Christian de Boer|Owner|'Attention to detail' is what makes any (hotel) experience brilliant is something we believe in. All those small details mixed with the 'no nickel & dime' approach creates the base for an outstanding Cambodia experience. I would also like to thank you for taking the time to write down your experience with us and choosing Jaya House as your hotel in Siem Reap. We would love to be able to welcome you back soonest. But for now, safe travels."
swannythemoose,138,5,Feb 2025,Couples,Best hotel we stayed at during our trip.,,,"Christian de Boer|Owner|I am so pleased to read we have been 'the best hotel on your trip'. We believe in the fact that the small details make all the difference and it seems you have indeed valued all those small efforts indeed. I hope we will be able to welcome you back at some point in the not too distant future. But for now, safe travels."
